hour,avg_temp,avg_humidity,max_gas_diff,readings
0,32.08,40.23,3,57
1,32.28,37.89,3,56
2,32.82,36.52,5,56
3,32.41,35.66,7,56
4,32.17,35.0,3,56
5,31.65,34.2,2,56
6,31.42,33.0,2,57
7,31.83,32.14,2,56
8,32.43,31.23,2,56
9,32.85,30.07,2,56
10,33.32,27.41,3,56
11,33.77,25.77,5,56
12,34.19,23.21,4,57
13,34.66,20.5,4,56
14,35.13,19.23,4,56
15,35.82,19.2,5,54
16,37.2,19.04,7,56
17,36.89,26.93,6,56
18,36.26,32.17,23,29
19,35.05,37.6,11,53
20,33.77,40.74,9,42
21,32.47,44.89,3,46
22,32.48,42.15,8,65
23,32.48,41.0,3,56
